name,year,total
Acton,2024,108
Adams-Normandie,2024,145
Agoura Hills,2024,113
Agua Dulce,2024,
Alhambra,2024,2458
Alondra Park,2024,315
Altadena,2024,126
Angeles Crest,2024,37
Arcadia,2024,1134
Arleta,2024,517
Arlington Heights,2024,518
Artesia,2024,289
Athens,2024,499
Atwater Village,2024,
Avalon,2024,123
Avocado Heights,2024,168
Azusa,2024,897
Baldwin Hills/Crenshaw,2024,367
Baldwin Park,2024,1853
Bel-Air,2024,
Bell,2024,1040
Bell Gardens,2024,2123
Bellflower,2024,1117
Beverly Crest,2024,
Beverly Grove,2024,
Beverly Hills,2024,113
Beverlywood,2024,41
Boyle Heights,2024,2789
Bradbury,2024,107
Brentwood,2024,
Broadway-Manchester,2024,1237
Burbank,2024,1371
Calabasas,2024,
Canoga Park,2024,1393
Carson,2024,528
Carthay,2024,
Castaic,2024,93
Castaic Canyons,2024,257
Central-Alameda,2024,2139
Century City,2024,
Cerritos,2024,557
Charter Oak,2024,86
Chatsworth,2024,278
ChatsWworth Reservoir,2024,
Chesterfield Square,2024,163
Cheviot Hills,2024,
Chinatown,2024,210
Citrus,2024,161
Claremont,2024,115
Commerce,2024,252
Compton,2024,3116
Covina,2024,554
Cudahy,2024,1008
Culver City,2024,646
Cypress Park,2024,212
Del Aire,2024,404
Del Rey,2024,344
Desert View Highlands,2024,114
Diamond Bar,2024,554
Downey,2024,3186
Downtown,2024,1068
Duarte,2024,340
Eagle Rock,2024,
East Compton,2024,491
East Hollywood,2024,816
East Los Angeles,2024,3716
East Pasadena,2024,
East San Gabriel,2024,737
East Whittier,2024,
Echo Park,2024,659
El Monte,2024,4557
El Segundo,2024,
El Sereno,2024,320
Elizabeth Lake,2024,
Elysian Park,2024,
Elysian Valley,2024,
Encino,2024,112
Exposition Park,2024,828
Fairfax,2024,223
Florence,2024,2362
Florence-Firestone,2024,3354
Gardena,2024,498
Glassell Park,2024,237
Glendale,2024,4930
Glendora,2024,148
Gramercy Park,2024,195
Granada Hills,2024,432
Green Meadows,2024,1348
Green Valley,2024,
Griffith Park,2024,
Hacienda Heights,2024,1304
Hancock Park,2024,210
Hansen Dam,2024,
Harbor City,2024,311
Harbor Gateway,2024,502
Harvard Heights,2024,377
Harvard Park,2024,87
Hasley Canyon,2024,
Hawaiian Gardens,2024,341
Hawthorne,2024,2112
Hermosa Beach,2024,
Hidden Hills,2024,
Highland Park,2024,112
Historic South-Central,2024,3301
Hollywood,2024,1211
Hollywood Hills,2024,
Hollywood Hills West,2024,
Huntington Park,2024,2876
Hyde Park,2024,689
