name,year,total
Acton,2023,0.31
Adams-Normandie,2023,0.61
Agoura Hills,2023,0.59
Agua Dulce,2023,0.44
Alhambra,2023,0.54
Alondra Park,2023,0.27
Altadena,2023,0.47
Angeles Crest,2023,0.44
Arcadia,2023,0.66
Arleta,2023,0.41
Arlington Heights,2023,0.38
Artesia,2023,0.63
Athens,2023,0.32
Atwater Village,2023,0.45
Avalon,2023,0.40
Avocado Heights,2023,0.63
Azusa,2023,0.50
Baldwin Hills/Crenshaw,2023,0.40
Baldwin Park,2023,0.44
Bel-Air,2023,0.52
Bell,2023,0.44
Bell Gardens,2023,0.45
Bellflower,2023,0.52
Beverly Crest,2023,0.49
Beverly Grove,2023,0.38
Beverly Hills,2023,0.59
Beverlywood,2023,0.40
Boyle Heights,2023,0.37
Bradbury,2023,0.40
Brentwood,2023,0.63
Broadway-Manchester,2023,0.29
Burbank,2023,0.53
Calabasas,2023,0.53
Canoga Park,2023,0.47
Carson,2023,0.46
Carthay,2023,0.20
Castaic,2023,0.45
Castaic Canyons,2023,0.43
Central-Alameda,2023,0.32
Century City,2023,0.53
Cerritos,2023,0.62
Charter Oak,2023,0.60
Chatsworth,2023,0.49
Chatsworth Reservoir,2023,0.00
Chesterfield Square,2023,0.30
Cheviot Hills,2023,0.52
Chinatown,2023,0.24
Citrus,2023,0.57
Claremont,2023,0.85
Commerce,2023,0.41
Compton,2023,0.35
Covina,2023,0.44
Cudahy,2023,0.44
Culver City,2023,0.46
Cypress Park,2023,0.38
Del Aire,2023,0.23
Del Rey,2023,0.34
Desert View Highlands,2023,0.41
Diamond Bar,2023,0.70
Downey,2023,0.49
Downtown,2023,0.42
Duarte,2023,0.35
Eagle Rock,2023,0.73
East Compton,2023,0.34
East Hollywood,2023,0.32
East Los Angeles,2023,0.42
East Pasadena,2023,0.42
East San Gabriel,2023,0.44
East Whittier,2023,0.63
Echo Park,2023,0.29
El Monte,2023,0.42
El Segundo,2023,0.30
El Sereno,2023,0.52
Elizabeth Lake,2023,0.00
Elysian Park,2023,0.31
Elysian Valley,2023,0.37
Encino,2023,0.63
Exposition Park,2023,0.60
