name,year,total
Acton,2025,1
Adams-Normandie,2025,0
Agoura Hills,2025,1
Agua Dulce,2025,0
Alhambra,2025,1
Alondra Park,2025,1
Altadena,2025,3
Angeles Crest,2025,0
Arcadia,2025,2
Arleta,2025,0
Arlington Heights,2025,1
Artesia,2025,1
Athens,2025,0
Atwater Village,2025,1
Avalon,2025,1
Avocado Heights,2025,0
Azusa,2025,1
Baldwin Hills/Crenshaw,2025,0
Baldwin Park,2025,1
Bel-Air,2025,0
Bell,2025,1
Bell Gardens,2025,1
Bellflower,2025,1
Beverly Crest,2025,0
Beverly Grove,2025,0
Beverly Hills,2025,2
Beverlywood,2025,1
Boyle Heights,2025,3
Bradbury,2025,0
Brentwood,2025,1
Broadway-Manchester,2025,0
Burbank,2025,3
Calabasas,2025,1
Canoga Park,2025,1
Carson,2025,2
Carthay,2025,0
Castaic,2025,1
Castaic Canyons,2025,0
Central-Alameda,2025,1
Century City,2025,0
Cerritos,2025,0
Charter Oak,2025,1
Chatsworth,2025,1
Chatsworth Reservoir,2025,0
Chesterfield Square,2025,0
Cheviot Hills,2025,0
Chinatown,2025,1
Citrus,2025,0
Claremont,2025,1
Commerce,2025,5
Compton,2025,1
Covina,2025,1
Cudahy,2025,1
Culver City,2025,1
Cypress Park,2025,1
Del Aire,2025,0
Del Rey,2025,0
Desert View Highlands,2025,0
Diamond Bar,2025,1
Downey,2025,1
Downtown,2025,2
Duarte,2025,1
Eagle Rock,2025,1
East Compton,2025,1
East Hollywood,2025,1
East Los Angeles,2025,5
East Pasadena,2025,0
East San Gabriel,2025,0
East Whittier,2025,0
Echo Park,2025,2
El Monte,2025,2
El Segundo,2025,1
El Sereno,2025,1
Elizabeth Lake,2025,0
Elysian Park,2025,0
Elysian Valley,2025,0
Encino,2025,0
Exposition Park,2025,1
Fairfax,2025,1
Florence,2025,1
Florence-Firestone,2025,2
Gardena,2025,1
Glassell Park,2025,0
Glendale,2025,8
Glendora,2025,1
Gramercy Park,2025,0
Granada Hills,2025,1
Green Meadows,2025,0
Green Valley,2025,0
Griffith Park,2025,0
Hacienda Heights,2025,1
Hancock Park,2025,0
Hansen Dam,2025,1
Harbor City,2025,1
Harbor Gateway,2025,0
Harvard Heights,2025,0
Harvard Park,2025,0
Hasley Canyon,2025,0
Hawaiian Gardens,2025,1
Hawthorne,2025,2
Hermosa Beach,2025,1
Hidden Hills,2025,0
Highland Park,2025,1
Historic South-Central,2025,0
Hollywood,2025,3
Hollywood Hills,2025,0
Hollywood Hills West,2025,0
Huntington Park,2025,2
Hyde Park,2025,2
Industry,2025,0
Inglewood,2025,3
Irwindale,2025,1
Jefferson Park,2025,1
Koreatown,2025,2
La Cañada Flintridge,2025,1
La Crescenta-Montrose,2025,1
La Habra Heights,2025,0
La Mirada,2025,1
La Puente,2025,2
La Verne,2025,1
Ladera Heights,2025,0
Lake Balboa,2025,0
Lake Hughes,2025,0
Lake Los Angeles,2025,0
Lake View Terrace,2025,0
Lakewood,2025,2
Lancaster,2025,1
Larchmont,2025,0
Lawndale,2025,1
Leimert Park,2025,0
Lennox,2025,1
Leona Valley,2025,0
Lincoln Heights,2025,1
Littlerock,2025,1
Lomita,2025,1
Long Beach,2025,12
Lopez/Kagel Canyons,2025,0
Los Feliz,2025,1
Lynwood,2025,1
Malibu,2025,1
Manchester Square,2025,0
Manhattan Beach,2025,1
Mar Vista,2025,1
Marina del Rey,2025,1
Mayflower Village,2025,0
Maywood,2025,1
Mid-City,2025,0
Mid-Wilshire,2025,1
Mission Hills,2025,0
Monrovia,2025,1
Montebello,2025,2
Montecito Heights,2025,0
Monterey Park,2025,1
Mount Washington,2025,0
North El Monte,2025,0
North Hills,2025,1
North Hollywood,2025,2
North Whittier,2025,0
Northeast Antelope Valley,2025,0
Northridge,2025,1
Northwest Antelope Valley,2025,0
Northwest Palmdale,2025,0
Norwalk,2025,2
Pacific Palisades,2025,1
Pacoima,2025,1
Palmdale,2025,2
Palms,2025,0
Palos Verdes Estates,2025,1
Panorama City,2025,1
Paramount,2025,1
Pasadena,2025,11
Pico Rivera,2025,2
Pico-Robertson,2025,0
Pico-Union,2025,1
Playa del Rey,2025,0
Playa Vista,2025,1
Pomona,2025,1
Porter Ranch,2025,1
Quartz Hill,2025,1
Ramona,2025,0
Rancho Dominguez,2025,0
Rancho Palos Verdes,2025,1
Rancho Park,2025,1
Redondo Beach,2025,2
Reseda,2025,1
Ridge Route,2025,0
Rolling Hills,2025,0
Rolling Hills Estates,2025,2
Rosemead,2025,2
Rowland Heights,2025,1
San Dimas,2025,1
San Fernando,2025,1
San Gabriel,2025,1
San Marino,2025,1
San Pasqual,2025,0
San Pedro,2025,1
Santa Clarita,2025,3
Santa Fe Springs,2025,1
Santa Monica,2025,5
Sawtelle,2025,1
Sepulveda Basin,2025,0
Shadow Hills,2025,0
Sherman Oaks,2025,1
Sierra Madre,2025,1
Signal Hill,2025,1
Silver Lake,2025,1
South Diamond Bar,2025,0
South El Monte,2025,1
South Gate,2025,2
South Park,2025,1
South Pasadena,2025,1
South San Gabriel,2025,0
South San Jose Hills,2025,0
South Whittier,2025,1
Southeast Antelope Valley,2025,0
Stevenson Ranch,2025,0
Studio City,2025,1
Sun Valley,2025,1
Sun Village,2025,0
Sunland,2025,0
Sylmar,2025,1
Tarzana,2025,1
Temple City,2025,1
Toluca Lake,2025,0
Topanga,2025,1
Torrance,2025,6
Tujunga,2025,1
Tujunga Canyons,2025,0
Unincorporated Catalina Island,2025,0
Unincorporated Santa Monica Mountains,2025,0
Unincorporated Santa Susana Mountains,2025,1
Universal City,2025,0
University Park,2025,0
Val Verde,2025,0
Valinda,2025,0
Valley Glen,2025,0
Valley Village,2025,0
Van Nuys,2025,1
Venice,2025,1
Vermont Knolls,2025,0
Vermont Square,2025,1
Vermont Vista,2025,1
Vermont-Slauson,2025,1
Vernon,2025,0
Veterans Administration,2025,0
View Park-Windsor Hills,2025,1
Vincent,2025,0
Walnut,2025,1
Walnut Park,2025,0
Watts,2025,1
West Adams,2025,1
West Carson,2025,0
West Compton,2025,0
West Covina,2025,1
West Hills,2025,0
West Hollywood,2025,1
West Los Angeles,2025,0
West Puente Valley,2025,0
West San Dimas,2025,0
West Whittier-Los Nietos,2025,2
Westchester,2025,1
Westlake,2025,1
Westlake Village,2025,1
Westmont,2025,1
Westwood,2025,1
Whittier,2025,2
Whittier Narrows,2025,0
Willowbrook,2025,3
Wilmington,2025,1
Windsor Square,2025,0
Winnetka,2025,0
Woodland Hills,2025,2
