library_name,library_system,address,zip_code,latitude,longitude,coordinate,county
Alhambra Library,Alhambra Civic Center Library,"101 S. First St., Alhambra, CA 91801 ",91801,34.0930938,-118.1275059,POINT (-118.1275059 34.0930938),Los Angeles
Bob Lucas Memorial Library & Literacy Center,Altadena Library District,"2659 Lincoln Avenue, Altadena, CA 91001",91001,34.19153904,-118.1587812,POINT (-118.1587812 34.19153904),Los Angeles
Main Library,Altadena Library District,"600 E. Mariposa Street, Altadena, CA 91001",91001,34.1891289,-118.1371796,POINT (-118.1371796 34.1891289),Los Angeles
Altadena Library at Loma Alta Park,Altadena Library District,"3330 N. Lincoln Avenue, Altadena, CA 91001",91001,34.2027947,-118.1589278,POINT (-118.1589278 34.2027947),Los Angeles
Arcadia Public Library,Arcadia Public Library,"20 West Duarte Road, Arcadia, CA 91006",91006,34.128623,-118.032336,POINT (-118.032336 34.128623),Los Angeles
Azusa City Library,Azusa City Library,"340 W 5th St., Azusa, CA 91702",91072,34.12979921,-117.9117148,POINT (-117.9117148 34.12979921),Los Angeles
Main Library,Beverly Hills Public Library,"444 N. Rexford Dr, Beverly Hills, CA 90210",90210,34.0732749,-118.4005628,POINT (-118.4005628 34.0732749),Los Angeles
Roxbury Book Nook,Beverly Hills Public Library,"471 S. Roxbury Dr, Beverly Hills, CA 90210",90210,34.05941983,-118.4057052,POINT (-118.4057052 34.05941983),Los Angeles
Buena Vista Branch Library,Burbank Public Library,"300 N. Buena Vista St., Burbank, CA 91505",91505,34.16413485,-118.330382,POINT (-118.330382 34.16413485),Los Angeles
Burbank Central Library,Burbank Public Library,"110 N. Glenoaks Blvd, Burbank, CA 91502",91505,34.18392785,-118.3064904,POINT (-118.3064904 34.18392785),Los Angeles
Northwest Branch Library,Burbank Public Library,"3323 W. Victory Blvd., Burbank, CA 91505",91505,34.185073,-118.347533,POINT (-118.347533 34.185073),Los Angeles
Calabasas Library,Calabasas Library,"200 Civic Center Way, Calabasas, CA 91302",91302,34.1527403,-118.6468116,POINT (-118.6468116 34.1527403),Los Angeles
Camarillo Public Library,Camarillo Public Library,"4101 Las Posas Road, Camarillo, CA 93010",93010,34.2432146,-119.0138886,POINT (-119.0138886 34.2432146),Ventura
Rosewood Library,City of Commerce Public Library,"5655 Jillson St., Commerce, CA 90040",90040,34.00030163,-118.1566326,POINT (-118.1566326 34.00030163),Los Angeles
Bandini Library & Learning Center,City of Commerce Public Library,"2269 S. Atlantic Blvd, Commerce, CA 90040",90040,34.0052201,-118.1646344,POINT (-118.1646344 34.0052201),Los Angeles
Bristow Neighborhood Library,City of Commerce Public Library,"1466 S McDonnell Ave, Commerce, CA 90040",90040,34.01298267,-118.1698953,POINT (-118.1698953 34.01298267),Los Angeles
READS CENTER,City of Commerce Public Library,"5655 Jillson Street, Commerce, CA 90040",90040,34.00030163,-118.1566326,POINT (-118.1566326 34.00030163),Los Angeles
Veterans Neighborhood Library,City of Commerce Public Library,"6134 Greenwood Ave, Commerce, CA 90040",90040,33.97369701,-118.1308015,POINT (-118.1308015 33.97369701),Los Angeles
A C Bilbrew Library,County of Los Angeles Public Library,"150 E El Segundo Blvd, Los Angeles, CA 90061",90061,33.9158519,-118.2305267,POINT (-118.2305267 33.9158519),Los Angeles
Acton Agua Dulce Library,County of Los Angeles Public Library,"33792 Crown Valley Rd, Acton, CA 93510",93510,34.495067,-118.197603,POINT (-118.197603 34.495067),Los Angeles
Agoura Hills Library,County of Los Angeles Public Library,"29901 Ladyface Court, Agoura Hills, CA 91301",91301,34.144363,-118.7754461,POINT (-118.7754461 34.144363),Los Angeles
Alondra Library,County of Los Angeles Public Library,"11949 Alondra Blvd, Norwalk, CA 90650",90650,33.8875715,-118.078726,POINT (-118.078726 33.8875715),Los Angeles
American Indian Resource Center (at Huntington Park Library),County of Los Angeles Public Library,"6518 Miles Ave, Huntington Park, CA 90255",90255,33.9802923,-118.2186834,POINT (-118.2186834 33.9802923),Los Angeles
Angelo M. Iacoboni Library,County of Los Angeles Public Library,"4990 Clark Ave, Lakewood, CA 90712",90712,33.84874555,-118.1333273,POINT (-118.1333273 33.84874555),Los Angeles
Antelope Valley East Bookmobile,County of Los Angeles Public Library,"Multiple Locations Tues - Sat, East Antelope Valley Area, CA",,,,POINT (NaN NaN),Los Angeles
Antelope Valley West Bookmobile,County of Los Angeles Public Library,"Multiple Locations Tues - Sat, Antelope Valley West Area, CA",,,,POINT (NaN NaN),Los Angeles
Anthony Quinn Library,County of Los Angeles Public Library,"3965 Cesar E Chavez Ave, Los Angeles, CA 90063",90063,34.0407904,-118.1800207,POINT (-118.1800207 34.0407904),Los Angeles
Artesia Library,County of Los Angeles Public Library,"18801 Elaine Avenue, Artesia, CA 90701",90701,33.86060265,-118.0791032,POINT (-118.0791032 33.86060265),Los Angeles
Asian Pacific Resource Center (at Rosemead Library),County of Los Angeles Public Library,"8800 Valley Blvd, Rosemead, CA 91770",91770,34.080588,-118.077484,POINT (-118.077484 34.080588),Los Angeles
Avalon Library,County of Los Angeles Public Library,"215 Sumner Ave, Avalon, CA 90704",90704,33.3438921,-118.3263474,POINT (-118.3263474 33.3438921),Los Angeles
Baldwin Park Library,County of Los Angeles Public Library,"4181 Baldwin Park Blvd, Baldwin Park, CA 91706",91706,34.0879872,-117.9650863,POINT (-117.9650863 34.0879872),Los Angeles
Bell Express Library,County of Los Angeles Public Library,"4357 E Gage Ave, Bell, CA 90201",90201,33.978421,-118.190071,POINT (-118.190071 33.978421),Los Angeles
Bell Gardens Library,County of Los Angeles Public Library,"7110 S Garfield Ave, Bell Gardens, CA 90201",90201,33.9666807,-118.1506254,POINT (-118.1506254 33.9666807),Los Angeles
Black Resource Center (at A C Bilbrew Library),County of Los Angeles Public Library,"150 E El Segundo Blvd, Los Angeles, CA 90061",90061,33.9158519,-118.2305267,POINT (-118.2305267 33.9158519),Los Angeles
Carson Library,County of Los Angeles Public Library,"151 E Carson St, Carson, CA 90745",90745,33.8320771,-118.2763172,POINT (-118.2763172 33.8320771),Los Angeles
Castaic Library,County of Los Angeles Public Library,"27971 Sloan Canyon Rd, Castaic, CA 91384",91384,34.49581465,-118.6269534,POINT (-118.6269534 34.49581465),Los Angeles
Charter Oak Library,County of Los Angeles Public Library,"20540 E Arrow Highway Suite K, Covina, CA 91724",91724,34.1061198,-117.8531162,POINT (-117.8531162 34.1061198),Los Angeles
Chet Holifield Library,County of Los Angeles Public Library,"1060 S Greenwood Ave, Montebello, CA 90640",90640,33.9933465,-118.1200693,POINT (-118.1200693 33.9933465),Los Angeles
Chicano Resource Center (at East Los Angeles Library),County of Los Angeles Public Library,"4837 E 3rd St, Los Angeles, CA 90022",90022,34.033993,-118.15975,POINT (-118.15975 34.033993),Los Angeles
City Terrace Library,County of Los Angeles Public Library,"4025 E City Terrace Dr, Los Angeles, CA 90063",90063,34.05595275,-118.1780633,POINT (-118.1780633 34.05595275),Los Angeles
Claremont Helen Renwick Library,County of Los Angeles Public Library,"208 N Harvard Ave, Claremont, CA 91711",91711,34.096326,-117.715958,POINT (-117.715958 34.096326),Los Angeles
Clifton M. Brakensiek Library,County of Los Angeles Public Library,"9945 E Flower St, Bellflower, CA 90706",90706,33.882112,-118.120886,POINT (-118.120886 33.882112),Los Angeles
Compton Library,County of Los Angeles Public Library,"240 W Compton Blvd, Compton, CA 90220",90220,33.895891,-118.225519,POINT (-118.225519 33.895891),Los Angeles
Cudahy Library,County of Los Angeles Public Library,"5218 Santa Ana St, Cudahy, CA 90201",90201,33.9594776,-118.17459,POINT (-118.17459 33.9594776),Los Angeles
Culver City Julian Dixon Library,County of Los Angeles Public Library,"4975 Overland Ave, Culver City, CA 90230",90230,34.00685756,-118.3960141,POINT (-118.3960141 34.00685756),Los Angeles
Diamond Bar Library,County of Los Angeles Public Library,"21800 Copley Dr, Diamond Bar, CA 91765",91765,33.9990149,-117.8308025,POINT (-117.8308025 33.9990149),Los Angeles
"Dr. Martin Luther King, Jr. Library",County of Los Angeles Public Library,"17906 S Avalon Blvd, Carson, CA 90746",90746,33.86818845,-118.2663597,POINT (-118.2663597 33.86818845),Los Angeles
Duarte Library,County of Los Angeles Public Library,"1301 Buena Vista St, Duarte, CA 91010",91010,34.1381741,-117.9779407,POINT (-117.9779407 34.1381741),Los Angeles
East Bookmobile,County of Los Angeles Public Library,"Multiple Locations Tues - Sat, East Los Angeles Area, CA",,,,POINT (NaN NaN),Los Angeles
East Los Angeles Library,County of Los Angeles Public Library,"4837 E 3rd St, Los Angeles, CA 90022",90022,34.033993,-118.15975,POINT (-118.15975 34.033993),Los Angeles
East Rancho Dominguez Library,County of Los Angeles Public Library,"4420 E Rose St, East Rancho Dominguez, CA 90221",90221,33.89417202,-118.1942034,POINT (-118.1942034 33.89417202),Los Angeles
El Camino Real Library,County of Los Angeles Public Library,"4264 E Whittier Blvd, Los Angeles, CA 90023",90023,34.0237105,-118.1778051,POINT (-118.1778051 34.0237105),Los Angeles
El Monte Library,County of Los Angeles Public Library,"3224 Tyler Ave, El Monte, CA 91731",91731,34.0669541,-118.0356225,POINT (-118.0356225 34.0669541),Los Angeles
