name,year,total
Acton,2023,0.08
Adams-Normandie,2023,0.36
Agoura Hills,2023,0.04
Agua Dulce,2023,0.10
Alhambra,2023,0.16
Alondra Park,2023,0.27
Altadena,2023,0.07
Angeles Crest,2023,0.10
Arcadia,2023,0.08
Arleta,2023,0.37
Arlington Heights,2023,0.26
Artesia,2023,0.23
Athens,2023,0.15
Atwater Village,2023,0.12
Avalon,2023,0.23
Avocado Heights,2023,0.28
Azusa,2023,0.20
Baldwin Hills/Crenshaw,2023,0.15
Baldwin Park,2023,0.32
Bel-Air,2023,0.04
Bell,2023,0.43
Bell Gardens,2023,0.47
Bellflower,2023,0.22
Beverly Crest,2023,0.03
Beverly Grove,2023,0.04
Beverly Hills,2023,0.03
Beverlywood,2023,0.03
Boyle Heights,2023,0.45
Bradbury,2023,0.07
Brentwood,2023,0.01
Broadway-Manchester,2023,0.42
Burbank,2023,0.08
Calabasas,2023,0.02
Canoga Park,2023,0.23
Carson,2023,0.17
Carthay,2023,0.06
Castaic,2023,0.06
Castaic Canyons,2023,0.10
Central-Alameda,2023,0.58
Century City,2023,0.02
Cerritos,2023,0.06
Charter Oak,2023,0.10
Chatsworth,2023,0.08
Chesterfield Square,2023,0.29
Chatsworth Reservoir,2023,0.00
Cheviot Hills,2023,0.02
Chinatown,2023,0.29
Citrus,2023,0.24
Claremont,2023,0.05
Commerce,2023,0.34
Compton,2023,0.36
Covina,2023,0.14
Cudahy,2023,0.46
Culver City,2023,0.06
Cypress Park,2023,0.32
Del Aire,2023,0.18
Del Rey,2023,0.11
Desert View Highlands,2023,0.22
Diamond Bar,2023,0.07
Downey,2023,0.19
Downtown,2023,0.14
Duarte,2023,0.14
Eagle Rock,2023,0.09
East Compton,2023,0.43
East Hollywood,2023,0.25
East Los Angeles,2023,0.45
East Pasadena,2023,0.12
East San Gabriel,2023,0.13
East Whittier,2023,0.09
Echo Park,2023,0.17
El Monte,2023,0.36
El Segundo,2023,0.02
El Sereno,2023,0.29
Elizabeth Park,2023,0.00
